epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
75,1462.39,1.25586,0.45816,0.00128,0.87021,0.77702,0.80177,0.46379,1.23189,0.46254,0.00152,0.00033425,0.00033425,0.00033425
76,1481.37,1.26502,0.45808,0.00128,0.82613,0.76814,0.80115,0.45522,1.24199,0.46229,0.00153,0.000321875,0.000321875,0.000321875
77,1500.36,1.24051,0.45405,0.00129,0.86363,0.77403,0.80222,0.47215,1.23718,0.45612,0.00151,0.0003095,0.0003095,0.0003095
78,1518.69,1.25062,0.45635,0.00127,0.82396,0.73847,0.78117,0.46234,1.22295,0.46892,0.00149,0.000297125,0.000297125,0.000297125
79,1538.33,1.23196,0.44613,0.00124,0.89391,0.74163,0.79927,0.47031,1.21611,0.44228,0.00148,0.00028475,0.00028475,0.00028475
80,1556.82,1.23025,0.44856,0.0013,0.85839,0.76308,0.80436,0.46835,1.22524,0.45325,0.00154,0.000272375,0.000272375,0.000272375
81,1576.1,1.25563,0.46057,0.00126,0.89968,0.75013,0.79137,0.46107,1.23045,0.45596,0.00151,0.00026,0.00026,0.00026
82,1594.49,1.22346,0.44951,0.00125,0.86679,0.74858,0.78963,0.46637,1.24337,0.44999,0.00151,0.000247625,0.000247625,0.000247625
83,1612.94,1.25221,0.45683,0.00126,0.84229,0.7725,0.79596,0.48095,1.22564,0.46045,0.00151,0.00023525,0.00023525,0.00023525
84,1632.55,1.249,0.45411,0.00127,0.88977,0.75358,0.79251,0.47412,1.23038,0.45826,0.00151,0.000222875,0.000222875,0.000222875
85,1650.78,1.22964,0.45093,0.00123,0.90432,0.7676,0.79816,0.468,1.23604,0.456,0.00151,0.0002105,0.0002105,0.0002105
86,1669.83,1.20979,0.4439,0.00125,0.90728,0.7733,0.79603,0.45704,1.23994,0.46366,0.00151,0.000198125,0.000198125,0.000198125
87,1688.26,1.22947,0.45396,0.00123,0.88243,0.77768,0.7951,0.46588,1.21573,0.4552,0.00149,0.00018575,0.00018575,0.00018575
88,1706.7,1.21604,0.44256,0.00126,0.8765,0.76796,0.79007,0.4659,1.24537,0.46286,0.00151,0.000173375,0.000173375,0.000173375
89,1726.51,1.19784,0.43958,0.00123,0.9027,0.76414,0.79142,0.46992,1.20636,0.45038,0.0015,0.000161,0.000161,0.000161
90,1745.23,1.22093,0.44413,0.00123,0.8786,0.75422,0.7934,0.46076,1.22125,0.45815,0.0015,0.000148625,0.000148625,0.000148625
91,1765.94,1.11199,0.3876,0.00137,0.9258,0.74048,0.792,0.45257,1.24604,0.45777,0.00155,0.00013625,0.00013625,0.00013625
92,1782.68,1.12028,0.39312,0.00134,0.88613,0.75711,0.80063,0.46219,1.25272,0.45628,0.00155,0.000123875,0.000123875,0.000123875
93,1799.63,1.10439,0.38329,0.00136,0.90396,0.75424,0.80067,0.46711,1.25523,0.46303,0.00155,0.0001115,0.0001115,0.0001115
94,1818.2,1.09582,0.38204,0.00135,0.94201,0.75032,0.7941,0.46272,1.24373,0.44757,0.00154,9.9125e-05,9.9125e-05,9.9125e-05
95,1835.33,1.08463,0.37486,0.00131,0.91908,0.7554,0.79577,0.46972,1.23031,0.44215,0.00152,8.675e-05,8.675e-05,8.675e-05
96,1852.43,1.07797,0.37554,0.0013,0.92531,0.7463,0.80129,0.46676,1.22342,0.44426,0.00152,7.4375e-05,7.4375e-05,7.4375e-05
97,1870.05,1.07672,0.37401,0.00128,0.95272,0.7421,0.80407,0.47117,1.21615,0.44379,0.0015,6.2e-05,6.2e-05,6.2e-05
98,1887.1,1.07951,0.37626,0.00128,0.95262,0.74059,0.79588,0.4649,1.23087,0.44595,0.00151,4.9625e-05,4.9625e-05,4.9625e-05
99,1903.76,1.069,0.37031,0.00131,0.94563,0.75489,0.79641,0.46515,1.22716,0.44941,0.00151,3.725e-05,3.725e-05,3.725e-05
100,1920.27,1.06311,0.37156,0.00129,0.92542,0.76406,0.80256,0.46562,1.22911,0.44386,0.00151,2.4875e-05,2.4875e-05,2.4875e-05
